Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
  0.00   6175.17     0.00       21     0.00     0.00  __mod_clm_nchelper_MOD_clm_writevar_integer_0d
  0.00   6175.17     0.00       21     0.00     0.00  __mod_memutil_MOD_getmem2d_l
  0.00   6175.17     0.00       21     0.00     0.00  __mod_space_MOD_getspc2d_larr
  0.00   6175.17     0.00       20     0.00     0.00  __mod_memutil_MOD_getmem2d_i
  0.00   6175.17     0.00       20     0.00     0.00  __mod_space_MOD_getspc2d_iarr
  0.00   6175.17     0.00       19     0.00     0.00  __mod_nchelper_MOD_read_var2d_static_double
  0.00   6175.17     0.00       18     0.00     0.00  __mod_clm_nchelper_MOD_clm_readvar_real8_2d_par_sg
  0.00   6175.17     0.00       17     0.00     0.00  __mod_clm_nchelper_MOD_clm_readvar_real8_1d_par_sg
  0.00   6175.17     0.00       17     0.00     0.00  __mod_date_MOD_hourdiff
  0.00   6175.17     0.00       15     0.00     0.00  __mod_memutil_MOD_assignp4d_d
  0.00   6175.17     0.00       14     0.00     0.00  __mod_clm_nchelper_MOD_clm_readvar_real8_3d_par_sg
  0.00   6175.17     0.00       14     0.00     0.00  __mod_clm_nchelper_MOD_clm_writevar_text_1d
  0.00   6175.17     0.00       14     0.00     0.00  __mod_mppparam_MOD_bcast_arr_text_list
  0.00   6175.17     0.00       14     0.00     0.00  __mod_mppparam_MOD_real8_2d_sub_collect
  0.00   6175.17     0.00       14     0.00     0.00  __mod_ncout_MOD_write_record_output_stream
  0.00   6175.17     0.00       14     0.00     0.00  __mod_ncstream_MOD_outstream_addrec_date
  0.00   6175.17     0.00       14     0.00     0.00  __mod_ncstream_MOD_outstream_addrec_value
  0.00   6175.17     0.00       14     0.00     0.00  __mod_realkinds_MOD_is_inf_double
